Trial,Alpha,K_Graph,LambdaRecon,NegHard,NegAdj,Method,Config,ARI,NMI,ACC
42,0.4,6,0.01,0.7,0.4,mclust,mclust_B,0.5081161251886291,0.5669139942949045,0.6782311263132177
42,0.4,6,0.01,0.7,0.4,robust,robust_C,0.5674617116650571,0.6312468420110282,0.7405326166625946
42,0.4,6,0.01,0.7,0.4,robust,robust_D,0.5426265450650517,0.695110268247145,0.6804300024431957
43,0.4,8,0.0,0.7,0.5,mclust,mclust_A,0.4485259119960492,0.5038301778066765,0.6552650867334473
43,0.4,8,0.0,0.7,0.5,mclust,mclust_B,0.5230078830805696,0.5731204412863823,0.6762765697532372
43,0.4,8,0.0,0.7,0.5,robust,robust_C,0.446836249012154,0.6007515278921312,0.5839237722941608
43,0.4,8,0.0,0.7,0.5,robust,robust_D,0.561908161260659,0.7035954782772849,0.6904471048130956
44,0.4,4,0.0,0.8,0.3,mclust,mclust_A,0.2789989615374327,0.3146911324001147,0.5790373808942096
44,0.4,4,0.0,0.8,0.3,mclust,mclust_B,0.4486605510587506,0.5099560269149456,0.6428047886635719
44,0.4,4,0.0,0.8,0.3,robust,robust_C,0.579006821913932,0.6459548436139836,0.7483508429025165
44,0.4,4,0.0,0.8,0.3,robust,robust_D,0.5259096260031837,0.6676380380649618,0.6848277547031517
45,0.2,4,0.0,0.85,0.5,mclust,mclust_A,0.12651722830201903,0.24591658890286627,0.4456388956755436
45,0.2,4,0.0,0.85,0.5,mclust,mclust_B,0.5037122295888972,0.5444466732067513,0.6689469826533105
45,0.2,4,0.0,0.85,0.5,robust,robust_C,0.4462578202880901,0.6034177564400093,0.5780601026142194
45,0.2,4,0.0,0.85,0.5,robust,robust_D,0.558482690834686,0.6889783361904921,0.6970437332030296
46,0.35,8,0.05,0.7,0.4,mclust,mclust_A,0.4078007963703726,0.48465732572757425,0.6352308819936477
46,0.35,8,0.05,0.7,0.4,mclust,mclust_B,0.16077462164144585,0.38749341994381403,0.5272416320547276
46,0.35,8,0.05,0.7,0.4,robust,robust_C,0.5286231826190986,0.6289969204447223,0.694600537503054
