npz	pca_dim	seed	score	upper_cluster	upper_purity	upper_recall	lower_cluster	lower_purity	lower_recall	both_cluster	both_purity	both_recall
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	8	0.39215186535961993	2	0.10738255033557047	0.7272727272727273	12	0.23829787234042554	0.717948717948718	12	0.23829787234042554	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	1	0.3912799919021731	16	0.10580204778156997	0.7045454545454546	24	0.2384937238493724	0.7307692307692307	24	0.2384937238493724	0.4672131147540984
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	10	0.3910081831319046	23	0.10616438356164383	0.7045454545454546	20	0.2375	0.7307692307692307	20	0.2375	0.4672131147540984
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	17	0.39015017923397727	5	0.12612612612612611	0.6363636363636364	5	0.2927927927927928	0.8333333333333334	5	0.4189189189189189	0.7622950819672131
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	7	0.38988551851134523	19	0.10508474576271186	0.7045454545454546	16	0.24034334763948498	0.717948717948718	16	0.24034334763948498	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	3	0.38946746566952734	25	0.10508474576271186	0.7045454545454546	15	0.23931623931623933	0.717948717948718	15	0.23931623931623933	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	5	0.38905236568712925	8	0.10508474576271186	0.7045454545454546	17	0.23829787234042554	0.717948717948718	17	0.23829787234042554	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	18	0.3889099815221045	2	0.10580204778156997	0.7045454545454546	18	0.23728813559322035	0.717948717948718	18	0.23728813559322035	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	9	0.38863684638635443	16	0.10616438356164383	0.7045454545454546	17	0.23628691983122363	0.717948717948718	17	0.23628691983122363	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	19	0.3885006917820784	10	0.10580204778156997	0.7045454545454546	17	0.23628691983122363	0.717948717948718	17	0.23628691983122363	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	6	0.38823041496402705	0	0.10616438356164383	0.7045454545454546	25	0.23529411764705882	0.717948717948718	25	0.23529411764705882	0.45901639344262296
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	10	0.38806032820277897	3	0.12014134275618374	0.7727272727272727	3	0.23674911660777384	0.8589743589743589	3	0.3568904593639576	0.8278688524590164
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	6	0.3878313063392999	20	0.13302752293577982	0.6590909090909091	20	0.30275229357798167	0.8461538461538461	20	0.43577981651376146	0.7786885245901639
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	18	0.3876015537159201	9	0.11673151750972763	0.6818181818181818	9	0.26848249027237353	0.8846153846153846	9	0.3852140077821012	0.8114754098360656
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	0	0.3868036845317688	25	0.13551401869158877	0.6590909090909091	25	0.308411214953271	0.8461538461538461	25	0.4439252336448598	0.7786885245901639
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	2	0.38653203533844743	14	0.10472972972972973	0.7045454545454546	6	0.23706896551724138	0.7051282051282052	6	0.23706896551724138	0.45081967213114754
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	50	7	0.38625618142542956	19	0.19337016574585636	0.7954545454545454	19	0.2983425414364641	0.6923076923076923	19	0.49171270718232046	0.7295081967213115
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	12	0.3861185157122193	24	0.10472972972972973	0.7045454545454546	4	0.23605150214592274	0.7051282051282052	4	0.23605150214592274	0.45081967213114754
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	8	0.38586951386535756	16	0.13392857142857142	0.6818181818181818	16	0.29464285714285715	0.8461538461538461	16	0.42857142857142855	0.7868852459016393
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	9	0.38524616701768	20	0.16055045871559634	0.7954545454545454	20	0.25688073394495414	0.717948717948718	20	0.41743119266055045	0.7459016393442623
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	14	0.38472064873098494	15	0.13122171945701358	0.6590909090909091	15	0.3031674208144796	0.8589743589743589	15	0.4343891402714932	0.7868852459016393
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	2	0.3846499799419884	3	0.11627906976744186	0.6818181818181818	3	0.26356589147286824	0.8717948717948718	3	0.3798449612403101	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	12	0.38161140614138406	15	0.14393939393939395	0.8636363636363636	15	0.22727272727272727	0.7692307692307693	15	0.3712121212121212	0.8032786885245902
S2_Hpca_v2.augK2_d96_for_cluster.npz	50	12	0.3815047791690207	18	1.0	0.022727272727272728	14	0.13575525812619502	0.9102564102564102	14	0.19694072657743786	0.8442622950819673
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	10	0.37972315699756226	25	0.15584415584415584	0.8181818181818182	25	0.24675324675324675	0.7307692307692307	25	0.4025974025974026	0.7622950819672131
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	12	0.3786899075610374	25	0.17326732673267325	0.7954545454545454	25	0.28217821782178215	0.7307692307692307	25	0.45544554455445546	0.7540983606557377
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	14	0.3784461776362284	23	0.20121951219512196	0.75	23	0.3048780487804878	0.6410256410256411	23	0.5060975609756098	0.680327868852459
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	12	0.3780689833551255	25	0.1318181818181818	0.6590909090909091	25	0.29545454545454547	0.8333333333333334	25	0.42727272727272725	0.7704918032786885
